SA1_CODE21,2025_supply,2026_supply,2027_supply,2028_supply,2029_supply,2030_supply,2031_supply,2032_supply,2033_supply,2034_supply,2035_supply,2036_supply,2037_supply,2038_supply,2039_supply,2040_supply,2041_supply,2042_supply,2043_supply,2044_supply,2045_supply,2025_demand,2026_demand,2027_demand,2028_demand,2029_demand,2030_demand,2031_demand,2032_demand,2033_demand,2034_demand,2035_demand,2036_demand,2037_demand,2038_demand,2039_demand,2040_demand,2041_demand,2042_demand,2043_demand,2044_demand,2045_demand
11703164306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.593,17.804,17.965,18.682,18.753,18.994,19.022,18.988,18.913,18.841,18.757,18.76,18.795,18.82,18.847,18.86,18.862,18.852,18.833,18.804,18.762
11703164307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.991999999999997,27.577,26.717,26.629,26.052,25.694000000000003,25.356,25.079,24.907,24.78,24.685,24.624,24.605,24.607,24.65,24.697000000000003,24.75,24.793,24.827,24.842,24.838
11703164308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.674,40.583,40.949,42.585,42.744,43.296,43.358,43.28,43.11,42.946,42.755,42.760000000000005,42.842,42.897,42.96,42.988,42.995,42.972,42.927,42.861,42.767
11703164309,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,21.605,21.323,20.818,21.003,20.799,20.792,20.718,20.654,20.646,20.653,20.648,21.009,21.704,22.554,23.561,24.662,25.862,27.123,28.402,29.671999999999997,30.924
11703164310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.337,29.94,29.231,29.492,29.205,29.196,29.091,29.0,28.991,28.999,28.991999999999997,28.948,29.072,29.423,29.984,30.661,31.451,32.305,33.169,34.012,34.823
11703164311,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,22.755000000000003,22.359,20.696,20.186,19.583,19.56,19.66,19.951,20.315,20.723,21.087,24.67,30.235,35.832,41.445,47.017,52.521,57.946,63.3,68.589,73.819
11703164312,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,32.509,32.257,31.576,31.882,31.459000000000003,31.288,31.037,30.819,30.696,30.603,30.525,30.202,29.869,29.695,29.67,29.719,29.84,29.994999999999997,30.15,30.286,30.388
11703164313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,15.444,15.584,16.207,16.267,16.477,16.501,16.472,16.407,16.344,16.271,16.273,16.305,16.325,16.35,16.361,16.363,16.354,16.337,16.312,16.276
11703164314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.722,22.545,22.069000000000003,22.283,21.987,21.869,21.693,21.541,21.455,21.389,21.334,21.109,20.876,20.754,20.737,20.771,20.856,20.964,21.073,21.167,21.24
11703164315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.451,26.244999999999997,25.691000000000003,25.94,25.595,25.457,25.252,25.076,24.975,24.899,24.836,26.182,28.411,30.748,33.223,35.784,38.445,41.172,43.927,46.677,49.398
11703164316,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,23.146,22.814,21.844,21.686,21.179,20.937,20.762,20.679,20.691000000000003,20.752,20.815,21.096,21.449,21.701,21.898,22.02,22.081,22.09,22.067,22.017,21.954
11703164317,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,31.058,31.092,30.638,31.097,30.697,30.456,30.157000000000004,29.893,29.723,29.585,29.484,29.424,29.406,29.411,29.46,29.507,29.565,29.615,29.653999999999996,29.675,29.669
11703164318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.059,69.82300000000001,70.87,75.146,80.206,87.409,95.19,104.03900000000002,113.515,123.531,133.566,139.902,143.399,146.04000000000002,148.089,149.561,150.54,151.14,151.471,151.609,151.605
11703164319,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,110.445,110.364,108.668,110.254,109.028,108.417,107.57399999999998,106.828,106.405,106.089,105.857,105.752,105.793,105.889,106.138,106.362,106.609,106.818,106.983,107.068,107.065
11703164320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.433,41.804,40.501999999999995,40.366,39.494,38.95,38.438,38.018,37.757,37.565,37.42,37.328,37.299,37.302,37.369,37.439,37.519,37.584,37.636,37.66,37.653
11703164321,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,54.765,54.34,53.19200000000001,53.708,52.994,52.709,52.286,51.918,51.71,51.554,51.422,50.878,50.317,50.023,49.982,50.064,50.268,50.528,50.79,51.018,51.193
11703164401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.629,10.367,11.098,12.272,12.493,12.706,12.882,12.954,13.102,13.212,13.313,13.448,13.552,13.676,13.792,13.906,14.002,14.104,14.189,14.253,14.319
11703164402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
